external_id,domain,type,topic,difficulty,question,code,language,option_a,option_b,option_c,option_d,correct,explanation
TCH-E001,tech,mcq,web,easy,What does HTML stand for?,,,HyperText Markup Language,High Level Markup Language,Home Text Markup Language,Hyperlink Text Making Language,A,HTML marks up the structure and content of a web page. CSS handles presentation.
TCH-E002,tech,mcq,web,easy,What does CSS mainly control on a web page?,,,What the page does when clicked,How the page looks,Where the page is hosted,How fast the page loads from the server,B,"CSS controls presentation: colour, layout, spacing and typography. Behaviour comes from JavaScript."
TCH-E003,tech,mcq,web,easy,What does URL stand for?,,,Universal Reference Link,Unified Retrieval Language,Uniform Resource Locator,User Resource Locator,C,A URL is the address that identifies where a resource lives and how to fetch it.
TCH-E004,tech,mcq,web,easy,Which HTML tag creates a hyperlink?,,,The link tag,The href tag,The url tag,The a tag,D,The anchor tag <a> with an href attribute creates a clickable link. The <link> tag loads stylesheets.
TCH-E005,tech,mcq,programming,easy,Which symbol begins a single-line comment in Python?,,,#,//,--,/*,A,"Python uses #. Double slashes are used in C, Java and JavaScript."
TCH-E006,tech,mcq,programming,easy,What is a variable in programming?,,,A fixed number that never changes,A named place to store a value,A type of loop,An error in the code,B,Variables give a name to a stored value so the program can read and change it later.
TCH-E007,tech,mcq,programming,easy,What is an algorithm?,,,A programming language,A type of computer chip,A step-by-step procedure for solving a problem,A kind of database,C,An algorithm is the logic itself; a program is one implementation of it in a language.
TCH-E008,tech,mcq,programming,easy,"In software, what is a bug?",,,A feature request,A type of virus,A hardware component,An error that makes the program behave incorrectly,D,"A bug is a defect in code. A virus is malicious software, which is a different thing entirely."
TCH-E009,tech,code_output,programming,easy,What does this print?,print(2 ** 3),python,8,6,9,23,A,"The ** operator raises to a power, so 2 ** 3 is 2 x 2 x 2 = 8."
TCH-E010,tech,code_output,programming,easy,What does this print?,"print(len(""hello""))",python,4,5,6,hello,B,"len() returns the number of characters in the string, and 'hello' has five."
TCH-E011,tech,code_output,programming,easy,What does this print?,print(10 // 3),python,3.33,3.0,3,1,C,"The // operator is floor division, which discards the remainder and returns 3."
TCH-E012,tech,mcq,databases,easy,What does SQL stand for?,,,Simple Question Language,Sequential Query Logic,Standard Quality Language,Structured Query Language,D,SQL is the standard language for querying and manipulating relational databases.
TCH-E013,tech,mcq,databases,easy,Which SQL command retrieves data from a table?,,,SELECT,GET,FETCH,READ,A,"SELECT reads rows. INSERT adds them, UPDATE changes them and DELETE removes them."
TCH-E014,tech,mcq,databases,easy,What uniquely identifies each row in a database table?,,,The foreign key,The primary key,The index,The column name,B,"A primary key must be unique and not null, so it identifies exactly one row."
TCH-E015,tech,mcq,networking,easy,What does IP stand for in an IP address?,,,Internal Path,Integrated Port,Internet Protocol,Information Packet,C,The Internet Protocol handles addressing and routing of packets between networks.
TCH-E016,tech,mcq,networking,easy,Which device connects a home network to the internet?,,,A monitor,A printer,A scanner,A router,D,The router forwards traffic between the local network and the wider internet.
TCH-E017,tech,mcq,networking,easy,What does Wi-Fi provide?,,,A wireless connection to a network,Extra storage space,Faster processing,Virus protection,A,"Wi-Fi is a wireless networking technology; it affects connectivity, not speed of computation or security."
TCH-E018,tech,mcq,operating systems,easy,What does OS stand for?,,,Open Software,Operating System,Output Source,Online Server,B,The operating system manages hardware and provides services that applications run on.
